"Category";"Aantal"
"'s-Gravenhage";8
"'s-Hertogenbosch";11
"Aalsmeer";3
"Albrandswaard";1
"Alkmaar";1
"Almelo";1
"Almere";1
"Alphen aan den Rijn";4
"Altena";8
"Amersfoort";4
"Amstelveen";3
"Amsterdam";20
"Apeldoorn";2
"Arnhem";4
"Barendrecht";1
"Beekdaelen";8
"Berg en Dal";5
"Bergeijk";1
"Bergen op Zoom";1
"Bernheze";13
"Best";3
"Beuningen";3
"Beverwijk";5
"Blaricum";1
"Bloemendaal";1
"Bodegraven-Reeuwijk";1
"Boekel";11
"Borne";3
"Borsele";1
"Boxmeer";1
"Boxtel";1
"Breda";53
"Bronckhorst";2
"Buren";2
"Coevorden";11
"Cranendonck";2
"Cuijk";2
"Culemborg";2
"De Bilt";11
"De Fryske Marren";2
"Delft";2
"Den Helder";1
"Deurne";3
"Diemen";2
"Dinkelland";3
"Dongen";4
"Dordrecht";1
"Drimmelen";5
"Dronten";2
"Druten";1
"Duiven";1
"Eersel";1
"Eindhoven";12
"Elburg";1
"Emmen";1
"Enschede";3
"Ermelo";4
"Etten-Leur";6
"Geertruidenberg";1
"Geldrop-Mierlo";2
"Gemert-Bakel";11
"Gennep";1
"Gilze en Rijen";1
"Goeree-Overflakkee";1
"Goes";2
"Goirle";6
"Gooise Meren";3
"Gouda";2
"Groningen";3
"Haaren";7
"Haarlem";4
"Harderwijk";2
"Hardinxveld-Giessendam";5
"Heemskerk";1
"Heemstede";2
"Heerlen";2
"Heeze-Leende";1
"Heiloo";2
"Hellendoorn";2
"Hellevoetsluis";1
"Helmond";16
"Heusden";4
"Hilvarenbeek";5
"Hoeksche Waard";1
"Hoogeveen";1
"Horst aan de Maas";2
"Houten";13
"Huizen";1
"IJsselstein";1
"Katwijk";1
"Krimpen aan den IJssel";1
"Krimpenerwaard";3
"Laarbeek";1
"Landerd";4
"Landgraaf";2
"Landsmeer";2
"Langedijk";3
"Lansingerland";4
"Leeuwarden";1
"Leiden";4
"Leidschendam-Voorburg";3
"Lelystad";3
"Leudal";4
"Lingewaard";2
"Loon op Zand";7
"Maastricht";10
"Meierijstad";25
"Moerdijk";1
"Neder-Betuwe";3
"Nederweert";1
"Nieuwkoop";1
"Nijmegen";8
"Nissewaard";1
"Noordwijk";2
"Nuenen, Gerwen en Nederwetten";1
"Nunspeet";1
"Oegstgeest";2
"Oisterwijk";6
"Oldebroek";1
"Oosterhout";3
"Opsterland";2
"Oss";3
"Peel en Maas";8
"Pekela";1
"Pijnacker-Nootdorp";6
"Purmerend";2
"Raalte";1
"Reimerswaal";1
"Renkum";7
"Rheden";1
"Ridderkerk";1
"Roermond";1
"Roosendaal";2
"Rotterdam";20
"Schagen";2
"Schouwen-Duiveland";2
"Simpelveld";2
"Sint-Michielsgestel";5
"Sittard-Geleen";23
"Smallingerland";1
"Soest";8
"Son en Breugel";2
"Stein";1
"Stichtse Vecht";6
"Súdwest-Fryslân";1
"Tiel";2
"Tilburg";67
"Tubbergen";1
"Uden";25
"Utrecht";26
"Utrechtse Heuvelrug";2
"Veenendaal";1
"Veere";1
"Veldhoven";1
"Velsen";1
"Venlo";2
"Vijfheerenlanden";2
"Vlaardingen";1
"Vlissingen";2
"Voorst";1
"Vught";2
"Waalre";1
"Waalwijk";9
"Waddinxveen";1
"Wassenaar";1
"Waterland";1
"West Betuwe";3
"West Maas en Waal";2
"Westvoorne";1
"Wijchen";3
"Wijk bij Duurstede";2
"Woerden";2
"Woudenberg";1
"Zaanstad";2
"Zaltbommel";1
"Zeewolde";1
"Zeist";4
"Zundert";3
"Zwartewaterland";2
"Zwolle";2
