"Category";"Aantal per 100.000 inwoners";"Aantal"
"'s-Gravenhage";8.7;47
"'s-Hertogenbosch";35.7;55
"Aa en Hunze";3.9;1
"Aalsmeer";22.1;7
"Aalten";3.7;1
"Achtkarspelen";0;0
"Alblasserdam";19.9;4
"Albrandswaard";47.5;12
"Alkmaar";13.8;15
"Almelo";6.9;5
"Almere";6.7;14
"Alphen aan den Rijn";15.3;17
"Alphen-Chaam";88.7;9
"Altena";41.5;23
"Ameland";0;0
"Amersfoort";23.7;37
"Amstelveen";29.7;27
"Amsterdam";21.8;188
"Apeldoorn";10.5;17
"Appingedam";0;0
"Arnhem";10;16
"Assen";2.9;2
"Asten";29.9;5
"Baarle-Nassau";14.6;1
"Baarn";4;1
"Barendrecht";20.5;10
"Barneveld";15.5;9
"Beek";31.4;5
"Beekdaelen";53.2;19
"Beemster";0;0
"Beesel";37;5
"Berg en Dal";86.2;30
"Bergeijk";5.4;1
"Bergen (L)";7.6;1
"Bergen (NH)";26.7;8
"Bergen op Zoom";15;10
"Berkelland";2.3;1
"Bernheze";185;57
"Best";46.9;14
"Beuningen";42.5;11
"Beverwijk";17;7
"Bladel";54.5;11
"Blaricum";35.7;4
"Bloemendaal";34.2;8
"Bodegraven-Reeuwijk";14.5;5
"Boekel";349.5;37
"Borger-Odoorn";0;0
"Borne";21.5;5
"Borsele";13.2;3
"Boxmeer";24.1;7
"Boxtel";39;12
"Breda";76.1;140
"Brielle";5.8;1
"Bronckhorst";16.6;6
"Brummen";4.8;1
"Brunssum";21.4;6
"Bunnik";19.7;3
"Bunschoten";0;0
"Buren";18.8;5
"Capelle aan den IJssel";10.5;7
"Castricum";22.4;8
"Coevorden";39.5;14
"Cranendonck";63.6;13
"Cuijk";16;4
"Culemborg";17.5;5
"Dalfsen";28.1;8
"Dantumadiel";0;0
"De Bilt";46.7;20
"De Fryske Marren";15.6;8
"De Ronde Venen";9.1;4
"De Wolden";12.4;3
"Delft";11.6;12
"Delfzijl";0;0
"Den Helder";5.4;3
"Deurne";68;22
"Deventer";16;16
"Diemen";13.7;4
"Dinkelland";53.1;14
"Doesburg";35.9;4
"Doetinchem";8.7;5
"Dongen";7.7;2
"Dordrecht";11;13
"Drechterland";10.2;2
"Drimmelen";51.6;14
"Dronten";24.5;10
"Druten";26.6;5
"Duiven";7.9;2
"Echt-Susteren";37.9;12
"Edam-Volendam";13.9;5
"Ede";13.8;16
"Eemnes";11;1
"Eersel";47.1;9
"Eijsden-Margraten";23.4;6
"Eindhoven";19.9;46
"Elburg";13;3
"Emmen";3.7;4
"Enkhuizen";37.8;7
"Enschede";11.3;18
"Epe";24.1;8
"Ermelo";48.4;13
"Etten-Leur";45.7;20
"Geertruidenberg";37.2;8
"Geldrop-Mierlo";15.2;6
"Gemert-Bakel";164.2;50
"Gennep";41;7
"Gilze en Rijen";45.4;12
"Goeree-Overflakkee";50.4;25
"Goes";8;3
"Goirle";54.6;13
"Gooise Meren";19.1;11
"Gorinchem";5.5;2
"Gouda";20.5;15
"Grave";80.1;10
"Groningen";19.9;46
"Gulpen-Wittem";14;2
"Haaksbergen";12.4;3
"Haaren";84.5;12
"Haarlem";16.7;27
"Haarlemmermeer";10.4;16
"Halderberge";23.2;7
"Hardenberg";5;3
"Harderwijk";12.6;6
"Hardinxveld-Giessendam";33.2;6
"Harlingen";19;3
"Hattem";8.2;1
"Heemskerk";12.8;5
"Heemstede";40.3;11
"Heerde";48.5;9
"Heerenveen";4;2
"Heerhugowaard";14.1;8
"Heerlen";27.6;24
"Heeze-Leende";43.8;7
"Heiloo";25.6;6
"Hellendoorn";11.2;4
"Hellevoetsluis";10;4
"Helmond";41.5;38
"Hendrik-Ido-Ambacht";3.2;1
"Hengelo (O)";18.6;15
"Het Hogeland";0;0
"Heumen";42.5;7
"Heusden";34;15
"Hillegom";9.1;2
"Hilvarenbeek";39.1;6
"Hilversum";7.8;7
"Hoeksche Waard";24.2;21
"Hof van Twente";14.3;5
"Hollands Kroon";14.6;7
"Hoogeveen";9;5
"Hoorn";12.3;9
"Horst aan de Maas";30.7;13
"Houten";46.1;23
"Huizen";7.3;3
"Hulst";0;0
"IJsselstein";38.1;13
"Kaag en Braassem";7.4;2
"Kampen";26;14
"Kapelle";15.6;2
"Katwijk";9.2;6
"Kerkrade";17.5;8
"Koggenland";8.8;2
"Krimpen aan den IJssel";10.2;3
"Krimpenerwaard";19.6;11
"Laarbeek";49.3;11
"Landerd";141.7;22
"Landgraaf";26.6;10
"Landsmeer";43.5;5
"Langedijk";14.3;4
"Lansingerland";32.5;20
