"Category";"Zkh opname per 100.000";"Zkh opname";"Meldingen per 100.000";"Meldingen"
"'s-Hertogenbosch";65.1;101;151.5;235
"Aa en Hunze";3.9;1;27.5;7
"Aalsmeer";25.1;8;75.3;24
"Aalten";3.7;1;62.7;17
"Achtkarspelen";0;0;18;5
"Alblasserdam";34.7;7;79.3;16
"Albrandswaard";23.4;6;160.2;41
"Alkmaar";33.8;37;106;116
"Almelo";20.5;15;64.3;47
"Almere";39.2;83;61.8;131
"Alphen aan den Rijn";38.4;43;69.7;78
"Alphen-Chaam";146.9;15;381.9;39
"Altena";42.9;24;119.7;67
"Ameland";0;0;0;0
"Amersfoort";26.7;42;63.6;100
"Amstelveen";41.4;38;169;155
"Amsterdam";39;340;107.6;939
"Apeldoorn";18.3;30;75.1;123
"Appingedam";17.2;2;17.2;2
"Arnhem";29.7;48;68.8;111
"Assen";13.1;9;32.1;22
"Asten";53.8;9;161.3;27
"Baarle-Nassau";14.6;1;43.7;3
"Baarn";28.1;7;80.4;20
"Barendrecht";45.2;22;115;56
"Barneveld";16.9;10;89.7;53
"Beek";69.3;11;138.6;22
"Beekdaelen";97.3;35;158.4;57
"Beemster";39.9;4;69.8;7
"Beesel";103.8;14;170.6;23
"Berg en Dal";77.2;27;302.9;106
"Bergeijk";48.3;9;150.2;28
"Bergen (L.)";38.2;5;61.1;8
"Bergen (NH.)";50.3;15;124;37
"Bergen op Zoom";22.2;15;56.3;38
"Berkelland";4.6;2;34.3;15
"Bernheze";240;75;528.1;165
"Best";83.4;25;136.7;41
"Beuningen";65.7;17;139;36
"Beverwijk";24;10;112.9;47
"Bladel";63.7;13;171.6;35
"Blaricum";43.3;5;95.4;11
"Bloemendaal";21.2;5;140;33
"Bodegraven-Reeuwijk";14.3;5;54.5;19
"Boekel";259.6;28;667.7;72
"Borger-Odoorn";7.8;2;11.7;3
"Borne";55.8;13;145.8;34
"Borsele";17.6;4;52.8;12
"Boxmeer";54.5;16;163.4;48
"Boxtel";42.2;13;110.4;34
"Breda";70;129;174.2;321
"Brielle";46.3;8;115.7;20
"Bronckhorst";5.5;2;49.9;18
"Brummen";38.5;8;81.9;17
"Brunssum";100.7;28;161.8;45
"Bunnik";46.1;7;118.5;18
"Bunschoten";13.7;3;86.9;19
"Buren";26.2;7;71;19
"Capelle aan den IJssel";40.2;27;171.3;115
"Castricum";36.1;13;130.6;47
"Coevorden";25.5;9;87.8;31
"Cranendonck";226.8;48;439.4;93
"Cuijk";35.8;9;127.3;32
"Culemborg";69.1;20;124.3;36
"Dalfsen";52.5;15;129.4;37
"Dantumadiel";10.6;2;31.7;6
"De Bilt";44.1;19;157.7;68
"De Fryske Marren";23.3;12;65.9;34
"De Ronde Venen";51.7;23;110.2;49
"De Wolden";20.6;5;82.2;20
"Delft";29.9;31;59.8;62
"Delfzijl";20.3;5;48.6;12
"Den Helder";14.2;8;32;18
"Deurne";141.7;46;280.2;91
"Deventer";31.8;32;86.4;87
"Diemen";13;4;55.2;17
"Dinkelland";60.4;16;192.7;51
"Doesburg";36.1;4;90.3;10
"Doetinchem";13.8;8;69;40
"Dongen";49.6;13;171.6;45
"Dordrecht";46.9;56;93.9;112
"Drechterland";10.1;2;131.9;26
"Drimmelen";58.7;16;128.3;35
"Dronten";38.5;16;89;37
"Druten";84.6;16;195.6;37
"Duiven";35.8;9;83.6;21
"Echt-Susteren";101.2;32;164.5;52
"Edam-Volendam";44.2;16;85.6;31
"Ede";37.6;44;81.9;96
"Eemnes";10.8;1;75.7;7
"Eersel";93.2;18;186.4;36
"Eijsden-Margraten";143.7;37;337.8;87
"Eindhoven";40.1;94;107.9;253
"Elburg";34.5;8;177;41
"Emmen";12.1;13;33.6;36
"Enkhuizen";86.1;16;123.7;23
"Enschede";26.3;42;73.2;117
"Epe";42.2;14;165.7;55
"Ermelo";55.5;15;181.4;49
"Etten-Leur";75.2;33;207.4;91
"Geertruidenberg";41.8;9;78.9;17
"Geldrop-Mierlo";50.3;20;138.4;55
"Gemert-Bakel";201.8;62;387.3;119
"Gennep";76.8;13;189.1;32
"Gilze en Rijen";60.5;16;170.2;45
"Goeree-Overflakkee";79.9;40;369.6;185
"Goes";21;8;89.3;34
"Goirle";100.4;24;209.2;50
"Gooise Meren";34.5;20;89.6;52
"Gorinchem";35.1;13;221.6;82
"Gouda";35.4;26;128;94
"Grave";128.6;16;289.5;36
"Groningen";6;14;51.1;119
"Gulpen-Wittem";91.7;13;197.5;28
"Haaksbergen";45.3;11;98.7;24
"Haaren";104.4;15;201.8;29
"Haarlem";26.4;43;110.5;180
"Haarlemmermeer";28.8;45;84.6;132
"Halderberge";29.7;9;109;33
"Hardenberg";26.3;16;121.4;74
"Harderwijk";22.7;11;99.1;48
"Hardinxveld-Giessendam";5.5;1;92.9;17
"Harlingen";12.7;2;31.8;5
"Hattem";73.7;9;204.7;25
"Heemskerk";48.5;19;153.1;60
"Heemstede";29.4;8;271.7;74
"Heerde";123.7;23;344.3;64
"Heerenveen";19.8;10;63.4;32
"Heerhugowaard";38.2;22;92;53
"Heerlen";99.9;87;173.4;151
"Heeze-Leende";49.5;8;204.3;33
"Heiloo";33.4;8;100.1;24
"Hellendoorn";19.5;7;100.2;36
"Hellevoetsluis";27.4;11;87.2;35
"Helmond";63.8;59;175.3;162
"Hendrik-Ido-Ambacht";16;5;48.1;15
"Hengelo";17.3;14;85;69
"Het Hogeland";14.6;7;37.6;18
"Heumen";85.1;14;218.8;36
