"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";351;226.3;115;74.1;58;37.4
"Aa en Hunze";13;51.1;1;3.9;0;0
"Aalsmeer";35;109.9;8;25.1;2;6.3
"Aalten";45;165.9;4;14.8;3;11.1
"Achtkarspelen";7;25.1;0;0;0;0
"Alblasserdam";34;168.6;8;39.7;2;9.9
"Albrandswaard";70;273.6;9;35.2;4;15.6
"Alkmaar";194;177.3;49;44.8;19;17.4
"Almelo";79;108.1;20;27.4;3;4.1
"Almere";236;111.4;103;48.6;5;2.4
"Alphen aan den Rijn";132;118;53;47.4;16;14.3
"Alphen-Chaam";41;401.4;16;156.7;5;49
"Altena";98;175.1;30;53.6;10;17.9
"Ameland";0;0;0;0;0;0
"Amersfoort";139;88.4;53;33.7;17;10.8
"Amstelveen";252;274.8;49;53.4;29;31.6
"Amsterdam";1472;168.7;466;53.4;113;12.9
"Apeldoorn";237;144.7;44;26.9;29;17.7
"Appingedam";3;25.8;2;17.2;0;0
"Arnhem";203;125.8;56;34.7;17;10.5
"Assen";35;51;10;14.6;2;2.9
"Asten";58;346.6;14;83.7;6;35.9
"Baarle-Nassau";4;58.3;1;14.6;0;0
"Baarn";33;132.7;10;40.2;2;8
"Barendrecht";85;174.5;29;59.5;5;10.3
"Barneveld";92;155.7;15;25.4;6;10.2
"Beek";33;208;14;88.2;3;18.9
"Beekdaelen";99;275.2;42;116.7;19;52.8
"Beemster";8;79.8;4;39.9;1;10
"Beesel";38;281.8;20;148.3;7;51.9
"Berg en Dal";153;437.3;30;85.7;13;37.2
"Bergeijk";44;236.1;14;75.1;4;21.5
"Bergen (L.)";16;122.3;6;45.9;2;15.3
"Bergen (NH.)";47;157.5;16;53.6;3;10.1
"Bergen op Zoom";77;114.1;21;31.1;5;7.4
"Berkelland";51;116.6;6;13.7;2;4.6
"Bernheze";226;723.3;79;252.8;50;160
"Best";47;156.7;31;103.4;8;26.7
"Beuningen";49;189.3;19;73.4;4;15.4
"Beverwijk";67;161;15;36;5;12
"Bladel";46;225.5;17;83.4;7;34.3
"Blaricum";20;173.4;6;52;0;0
"Bloemendaal";40;169.7;6;25.5;3;12.7
"Bodegraven-Reeuwijk";35;100.4;7;20.1;2;5.7
"Boekel";84;778.9;31;287.5;21;194.7
"Borger-Odoorn";5;19.6;2;7.8;3;11.7
"Borne";43;184.4;13;55.8;6;25.7
"Borsele";21;92.4;5;22;0;0
"Boxmeer";87;296.2;18;61.3;13;44.3
"Boxtel";50;162.3;20;64.9;11;35.7
"Breda";388;210.6;140;76;51;27.7
"Brielle";26;150.4;12;69.4;0;0
"Bronckhorst";47;130.4;8;22.2;4;11.1
"Brummen";32;154.2;14;67.5;5;24.1
"Brunssum";64;230.1;32;115;11;39.5
"Bunnik";22;144.8;7;46.1;1;6.6
"Bunschoten";46;210.4;5;22.9;3;13.7
"Buren";32;119.7;11;41.1;5;18.7
"Capelle aan den IJssel";207;308.3;38;56.6;30;44.7
"Castricum";69;191.7;14;38.9;8;22.2
"Coevorden";45;127.5;12;34;1;2.8
"Cranendonck";149;704;58;274;21;99.2
"Cuijk";47;187;11;43.8;7;27.8
"Culemborg";50;172.7;20;69.1;6;20.7
"Dalfsen";63;220.4;15;52.5;6;21
"Dantumadiel";6;31.7;2;10.6;0;0
"De Bilt";91;211;21;48.7;8;18.6
"De Fryske Marren";51;98.9;14;27.1;5;9.7
"De Ronde Venen";68;153;35;78.7;5;11.2
"De Wolden";35;143.9;9;37;0;0
"Delft";101;97.4;37;35.7;7;6.8
"Delfzijl";14;56.8;5;20.3;0;0
"Den Helder";29;51.5;8;14.2;0;0
"Deurne";121;372.6;50;154;14;43.1
"Deventer";151;149.9;41;40.7;23;22.8
"Diemen";56;181.9;11;35.7;6;19.5
"Dinkelland";65;245.6;17;64.2;7;26.4
"Doesburg";21;189.6;7;63.2;6;54.2
"Doetinchem";71;122.4;12;20.7;11;19
"Dongen";60;228.8;15;57.2;9;34.3
"Dordrecht";215;180.2;69;57.8;16;13.4
"Drechterland";35;177.5;3;15.2;8;40.6
"Drimmelen";49;179.7;18;66;4;14.7
"Dronten";90;216.5;25;60.1;4;9.6
"Druten";94;496.9;20;105.7;5;26.4
"Duiven";34;135.3;12;47.8;4;15.9
"Echt-Susteren";76;240.4;36;113.9;14;44.3
"Edam-Volendam";64;176.8;19;52.5;0;0
"Ede";155;132.3;51;43.5;18;15.4
"Eemnes";13;140.6;2;21.6;1;10.8
"Eersel";55;284.8;22;113.9;7;36.2
"Eijsden-Margraten";126;489.3;49;190.3;18;69.9
"Eindhoven";368;157;142;60.6;56;23.9
"Elburg";91;392.9;16;69.1;3;13
"Emmen";70;65.4;15;14;7;6.5
"Enkhuizen";27;145.2;18;96.8;4;21.5
"Enschede";156;97.7;48;30;13;8.1
"Epe";99;298.3;27;81.4;13;39.2
"Ermelo";81;299.9;18;66.7;10;37
"Etten-Leur";135;307.7;38;86.6;25;57
"Geertruidenberg";29;134.6;10;46.4;5;23.2
"Geldrop-Mierlo";81;203.9;25;62.9;13;32.7
"Gemert-Bakel";151;491.5;71;231.1;29;94.4
"Gennep";46;271.8;15;88.6;10;59.1
"Gilze en Rijen";59;223.2;17;64.3;10;37.8
"Goeree-Overflakkee";233;465.5;52;103.9;25;50
"Goes";65;170.7;11;28.9;8;21
"Goirle";60;251;25;104.6;14;58.6
"Gooise Meren";82;141.3;23;39.6;2;3.4
"Gorinchem";125;337.8;16;43.2;11;29.7
"Gouda";195;265.5;32;43.6;18;24.5
"Grave";46;369.9;18;144.7;6;48.2
"Groningen";147;63.1;16;6.9;2;0.9
"Gulpen-Wittem";48;338.6;16;112.9;6;42.3
"Haaksbergen";49;201.6;14;57.6;1;4.1
"Haaren";36;250.5;17;118.3;7;48.7
"Haarlem";226;138.7;54;33.1;45;27.6
"Haarlemmermeer";177;113.4;57;36.5;17;10.9
"Halderberge";50;165.1;12;39.6;6;19.8
"Hardenberg";143;234.7;23;37.7;6;9.8
"Harderwijk";81;167.3;19;39.2;10;20.6
"Hardinxveld-Giessendam";28;153;1;5.5;2;10.9
"Harlingen";14;89.1;4;25.4;1;6.4
"Hattem";38;311.1;10;81.9;4;32.8
"Heemskerk";74;188.8;25;63.8;8;20.4
"Heemstede";87;319.4;10;36.7;27;99.1
"Heerde";132;710.2;29;156;18;96.8
"Heerenveen";77;152.5;12;23.8;11;21.8
"Heerhugowaard";109;189.3;25;43.4;7;12.2
"Heerlen";244;280.3;100;114.9;40;45.9
"Heeze-Leende";51;315.8;13;80.5;6;37.2
"Heiloo";40;166.8;9;37.5;5;20.9
"Hellendoorn";52;144.8;7;19.5;2;5.6
"Hellevoetsluis";55;137;14;34.9;1;2.5
"Helmond";253;273.7;90;97.4;31;33.5
"Hendrik-Ido-Ambacht";24;76.9;6;19.2;2;6.4
"Hengelo";105;129.4;17;20.9;14;17.3
"Het Hogeland";24;50.2;7;14.6;1;2.1
"Heumen";52;316.1;16;97.3;4;24.3
"Heusden";99;221.5;40;89.5;13;29.1
"Hillegom";28;126.1;7;31.5;1;4.5
"Hilvarenbeek";30;193.4;7;45.1;4;25.8
"Hilversum";98;107.8;23;25.3;3;3.3
"Hoeksche Waard";189;216.1;67;76.6;9;10.3
"Hof van Twente";57;162.8;14;40;2;5.7
"Hollands Kroon";54;111.5;26;53.7;5;10.3
"Hoogeveen";58;104.1;12;21.5;4;7.2
"Hoorn";69;94.2;29;39.6;11;15
"Horst aan de Maas";100;235.7;40;94.3;17;40.1
"Houten";94;187.5;23;45.9;10;19.9
"Huizen";67;162.3;18;43.6;3;7.3
"Hulst";25;90.7;8;29;4;14.5
"IJsselstein";91;266.8;33;96.7;23;67.4
"Kaag en Braassem";21;76.9;6;22;2;7.3
"Kampen";283;520.8;56;103.1;22;40.5
"Kapelle";15;118.2;2;15.8;1;7.9
"Katwijk";118;179.5;21;31.9;7;10.6
"Kerkrade";120;262.3;53;115.9;17;37.2
"Koggenland";29;127.5;6;26.4;6;26.4
"Krimpen aan den IJssel";54;182.8;9;30.5;3;10.2
"Krimpenerwaard";117;207.7;40;71;20;35.5
"Laarbeek";89;395;35;155.3;24;106.5
"Landerd";109;692.9;30;190.7;15;95.4
"Landgraaf";101;269.6;46;122.8;11;29.4
"Landsmeer";19;165.3;3;26.1;2;17.4
"Langedijk";40;142.1;16;56.8;2;7.1
"Lansingerland";148;237.2;35;56.1;15;24
"Laren";22;195.1;8;71;1;8.9
"Leeuwarden";49;39.5;32;25.8;6;4.8
"Leiden";109;87.1;36;28.8;12;9.6
"Leiderdorp";23;85;10;37;3;11.1
"Leidschendam-Voorburg";70;91.4;20;26.1;6;7.8
"Lelystad";113;143.7;49;62.3;7;8.9
"Leudal";156;434.6;53;147.6;22;61.3
"Leusden";34;111.8;8;26.3;4;13.2
"Lingewaard";75;160.9;28;60.1;5;10.7
"Lisse";19;82.8;6;26.1;2;8.7
"Lochem";63;186.8;11;32.6;7;20.8
"Loon op Zand";46;196.5;20;85.4;5;21.4
"Lopik";40;276.4;18;124.4;3;20.7
"Loppersum";2;21;0;0;0;0
"Losser";20;88.2;7;30.9;0;0
"Maasdriel";28;111.8;15;59.9;3;12
"Maasgouw";62;258.8;24;100.2;10;41.7
"Maassluis";41;123.4;14;42.1;2;6
"Maastricht";523;430.2;149;122.6;60;49.4
"Medemblik";56;124.2;17;37.7;6;13.3
"Meerssen";71;377;17;90.3;8;42.5
"Meierijstad";432;532;169;208.1;106;130.5
"Meppel";27;79.6;6;17.7;3;8.8
"Middelburg";40;82;14;28.7;7;14.3
"Midden-Delfland";13;67.2;4;20.7;0;0
"Midden-Drenthe";17;51.2;6;18.1;0;0
"Midden-Groningen";26;42.8;6;9.9;1;1.6
"Mill en Sint Hubert";25;228.5;9;82.3;4;36.6
"Moerdijk";52;140;13;35;6;16.2
"Molenlanden";86;195.8;17;38.7;4;9.1
"Montferland";62;172.2;9;25;4;11.1
"Montfoort";32;229.9;12;86.2;4;28.7
"Mook en Middelaar";26;331.3;6;76.5;4;51
"Neder-Betuwe";77;316.3;31;127.4;14;57.5
"Nederweert";41;240.9;28;164.5;5;29.4
"Nieuwegein";81;127.6;37;58.3;10;15.8
"Nieuwkoop";42;145.8;8;27.8;4;13.9
"Nijkerk";47;108.9;21;48.6;2;4.6
"Nijmegen";473;266.2;114;64.2;41;23.1
"Nissewaard";121;142;38;44.6;9;10.6
"Noardeast-Fryslân";23;50.8;6;13.3;4;8.8
"Noord-Beveland";5;67.6;1;13.5;0;0
"Noordenveld";17;54.4;2;6.4;1;3.2
"Noordoostpolder";49;103.7;12;25.4;3;6.3
"Noordwijk";36;82.7;14;32.2;1;2.3
"Nuenen, Gerwen en Nederwetten";41;175.4;15;64.2;5;21.4
"Nunspeet";139;499.2;33;118.5;15;53.9
"Oegstgeest";34;136.9;7;28.2;1;4
"Oirschot";42;224.3;12;64.1;6;32
"Oisterwijk";51;194.4;16;61;9;34.3
"Oldambt";8;20.9;4;10.5;0;0
"Oldebroek";98;414.5;25;105.7;13;55
"Oldenzaal";46;144.5;14;44;5;15.7
"Olst-Wijhe";37;202.7;12;65.7;5;27.4
"Ommen";42;233.2;9;50;2;11.1
"Oost Gelre";43;145.2;9;30.4;5;16.9
"Oosterhout";78;139.3;38;67.9;10;17.9
"Ooststellingwerf";3;11.8;2;7.9;0;0
"Oostzaan";23;236.3;10;102.7;1;10.3
"Opmeer";7;59.1;1;8.4;1;8.4
"Opsterland";21;70.6;6;20.2;0;0
"Oss";367;399.2;117;127.3;69;75.1
"Oude IJsselstreek";50;126.9;12;30.5;5;12.7
"Ouder-Amstel";25;178.2;5;35.6;0;0
"Oudewater";45;440.1;24;234.7;7;68.5
"Overbetuwe";106;221.3;55;114.8;11;23
"Papendrecht";41;127.6;7;21.8;6;18.7
"Peel en Maas";237;545.8;139;320.1;56;129
"Pekela";5;41;4;32.8;0;0
"Pijnacker-Nootdorp";80;144.6;22;39.8;6;10.8
